"measurement" "activity" "subjectid" "averages"
"fBodyAccFreqX" "WALKING_UPSTAIRS" 5 -0.427706137489362
"fBodyAccFreqX" "WALKING_UPSTAIRS" 6 -0.44512058675098
"fBodyAccFreqX" "WALKING_UPSTAIRS" 7 -0.432684590196078
"fBodyAccFreqX" "WALKING_UPSTAIRS" 8 -0.290117827804878
"fBodyAccFreqX" "WALKING_UPSTAIRS" 9 -0.341219678720408
"fBodyAccFreqX" "WALKING_UPSTAIRS" 10 -0.300390927148936
"fBodyAccFreqX" "WALKING_UPSTAIRS" 11 -0.52447937047037
"fBodyAccFreqX" "WALKING_UPSTAIRS" 12 -0.420235639230769
"fBodyAccFreqX" "WALKING_UPSTAIRS" 13 -0.480080060363636
"fBodyAccFreqX" "WALKING_UPSTAIRS" 14 -0.389133559537037
"fBodyAccFreqX" "WALKING_UPSTAIRS" 15 -0.505013560208333
"fBodyAccFreqX" "WALKING_UPSTAIRS" 16 -0.438031145882353
"fBodyAccFreqX" "WALKING_UPSTAIRS" 17 -0.5292345090625
"fBodyAccFreqX" "WALKING_UPSTAIRS" 18 -0.517596843103448
"fBodyAccFreqX" "WALKING_UPSTAIRS" 19 -0.344101732195
"fBodyAccFreqX" "WALKING_UPSTAIRS" 20 -0.448492302764706
"fBodyAccFreqX" "WALKING_UPSTAIRS" 21 -0.417990596617021
"fBodyAccFreqX" "WALKING_UPSTAIRS" 22 -0.21396827747619
"fBodyAccFreqX" "WALKING_UPSTAIRS" 23 -0.416950400284314
"fBodyAccFreqX" "WALKING_UPSTAIRS" 24 -0.502463282542373
"fBodyAccFreqX" "WALKING_UPSTAIRS" 25 -0.593367433030769
"fBodyAccFreqX" "WALKING_UPSTAIRS" 26 -0.384393859890909
"fBodyAccFreqX" "WALKING_UPSTAIRS" 27 -0.465425792352941
"fBodyAccFreqX" "WALKING_UPSTAIRS" 28 -0.378981881019608
"fBodyAccFreqX" "WALKING_UPSTAIRS" 29 -0.43825767622449
"fBodyAccFreqX" "WALKING_UPSTAIRS" 30 -0.590261485846154
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 1 -0.307395198687755
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 2 -0.273711609659574
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 3 -0.325863694730612
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 4 -0.342285696395556
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 5 -0.45352450106383
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 6 -0.41164933625
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 7 -0.365650549446809
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 8 -0.200757851
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 9 -0.440633905714286
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 10 -0.321679050052632
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 11 -0.400296382043478
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 12 -0.332249174152174
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 13 -0.385554490319149
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 14 -0.349609935577778
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 15 -0.445576739047619
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 16 -0.447958436170213
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 17 -0.514562240434783
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 18 -0.435841503272727
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 19 -0.323137202076923
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 20 -0.497514721777778
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 21 -0.437231469111111
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 22 -0.367713771944444
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 23 -0.23469362537037
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 24 -0.541663870181818
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 25 -0.554632665344828
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 26 -0.5514383554
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 27 -0.390366905
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 28 -0.351195267608696
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 29 -0.403870434583333
"fBodyAccFreqX" "WALKING_DOWNSTAIRS" 30 -0.463302877096774
"fBodyAccFreqX" "SITTING" 1 -0.0495135975489362
"fBodyAccFreqX" "SITTING" 2 0.08519282071
"fBodyAccFreqX" "SITTING" 3 0.0312989368846154
"fBodyAccFreqX" "SITTING" 4 0.037381761194
"fBodyAccFreqX" "SITTING" 5 -0.0209330490795455
"fBodyAccFreqX" "SITTING" 6 0.00304695404363636
"fBodyAccFreqX" "SITTING" 7 -0.0334312226625
"fBodyAccFreqX" "SITTING" 8 -0.164187373097826
"fBodyAccFreqX" "SITTING" 9 -0.109383841734
"fBodyAccFreqX" "SITTING" 10 -0.0826140728898148
"fBodyAccFreqX" "SITTING" 11 -0.050340397354717
"fBodyAccFreqX" "SITTING" 12 0.0326699716633333
"fBodyAccFreqX" "SITTING" 13 -0.00935147348163265
"fBodyAccFreqX" "SITTING" 14 -0.145044030516667
"fBodyAccFreqX" "SITTING" 15 -4.22904796610175e-05
"fBodyAccFreqX" "SITTING" 16 -0.00757859632753623
"fBodyAccFreqX" "SITTING" 17 0.0284866289765625
"fBodyAccFreqX" "SITTING" 18 0.0512363267736842
"fBodyAccFreqX" "SITTING" 19 -0.315288055164384
"fBodyAccFreqX" "SITTING" 20 -0.0618890358893939
"fBodyAccFreqX" "SITTING" 21 0.0879110564870588
"fBodyAccFreqX" "SITTING" 22 -0.162725371198387
"fBodyAccFreqX" "SITTING" 23 0.0459466909620588
"fBodyAccFreqX" "SITTING" 24 -0.0165992981941176
"fBodyAccFreqX" "SITTING" 25 -0.0316398345215385
"fBodyAccFreqX" "SITTING" 26 -0.14901757589359
"fBodyAccFreqX" "SITTING" 27 -0.0585153003971429
"fBodyAccFreqX" "SITTING" 28 -0.0155481277013889
"fBodyAccFreqX" "SITTING" 29 -0.02866874131
"fBodyAccFreqX" "SITTING" 30 -0.122700486687097
"fBodyAccFreqX" "STANDING" 1 0.0865153619088679
"fBodyAccFreqX" "STANDING" 2 0.108519182924074
"fBodyAccFreqX" "STANDING" 3 -0.087024832195082
"fBodyAccFreqX" "STANDING" 4 0.0620999958378571
"fBodyAccFreqX" "STANDING" 5 -0.0164066779678571
"fBodyAccFreqX" "STANDING" 6 0.0664521774298246
"fBodyAccFreqX" "STANDING" 7 -0.079704728245283
"fBodyAccFreqX" "STANDING" 8 0.0231155666555556
"fBodyAccFreqX" "STANDING" 9 -0.105711680368889
"fBodyAccFreqX" "STANDING" 10 0.159123629063636
"fBodyAccFreqX" "STANDING" 11 0.0890102416978723
"fBodyAccFreqX" "STANDING" 12 0.0636237568327869
"fBodyAccFreqX" "STANDING" 13 0.0328062514403509
"fBodyAccFreqX" "STANDING" 14 -0.245905018933333
"fBodyAccFreqX" "STANDING" 15 0.0627177564339623
"fBodyAccFreqX" "STANDING" 16 -0.0162371376025641
"fBodyAccFreqX" "STANDING" 17 -0.0325532545820513
"fBodyAccFreqX" "STANDING" 18 0.0156695760694521
"fBodyAccFreqX" "STANDING" 19 0.0424164044835616
"fBodyAccFreqX" "STANDING" 20 -0.0732793888890411
"fBodyAccFreqX" "STANDING" 21 -0.0850076160265618
"fBodyAccFreqX" "STANDING" 22 0.00672335972539683
"fBodyAccFreqX" "STANDING" 23 -0.00428156514117647
"fBodyAccFreqX" "STANDING" 24 0.105320736681159
"fBodyAccFreqX" "STANDING" 25 0.03435282285
"fBodyAccFreqX" "STANDING" 26 0.0910191269432432
"fBodyAccFreqX" "STANDING" 27 0.13780485515
"fBodyAccFreqX" "STANDING" 28 0.000355352684810127
"fBodyAccFreqX" "STANDING" 29 0.128678489443077
"fBodyAccFreqX" "STANDING" 30 -0.0532792165508475
"fBodyAccFreqX" "LAYING" 1 -0.158792670508
"fBodyAccFreqX" "LAYING" 2 -0.146482792591667
"fBodyAccFreqX" "LAYING" 3 -0.0739526439887097
"fBodyAccFreqX" "LAYING" 4 -0.274194618766667
"fBodyAccFreqX" "LAYING" 5 -0.135632454076923
"fBodyAccFreqX" "LAYING" 6 -0.219729934157895
"fBodyAccFreqX" "LAYING" 7 -0.635913046346154
"fBodyAccFreqX" "LAYING" 8 -0.307248374366667
"fBodyAccFreqX" "LAYING" 9 -0.4459627774628
"fBodyAccFreqX" "LAYING" 10 -0.14052022862069
"fBodyAccFreqX" "LAYING" 11 -0.0637709766210526
"fBodyAccFreqX" "LAYING" 12 -0.235607185033333
"fBodyAccFreqX" "LAYING" 13 -0.262990626162903
"fBodyAccFreqX" "LAYING" 14 -0.442950364647059
"fBodyAccFreqX" "LAYING" 15 -0.148912121697222
"fBodyAccFreqX" "LAYING" 16 -0.34641362517
"fBodyAccFreqX" "LAYING" 17 -0.115141826580282
"fBodyAccFreqX" "LAYING" 18 -0.0975278056098923
"fBodyAccFreqX" "LAYING" 19 -0.25318866264
"fBodyAccFreqX" "LAYING" 20 -0.213034275557353
"fBodyAccFreqX" "LAYING" 21 -0.5170305295
"fBodyAccFreqX" "LAYING" 22 -0.224663531040542
"fBodyAccFreqX" "LAYING" 23 -0.424151160897222
"fBodyAccFreqX" "LAYING" 24 -0.401945415305556
"fBodyAccFreqX" "LAYING" 25 -0.403359505161644
"fBodyAccFreqX" "LAYING" 26 -0.210237992646053
"fBodyAccFreqX" "LAYING" 27 -0.173719387825676
"fBodyAccFreqX" "LAYING" 28 -0.33011001977875
"fBodyAccFreqX" "LAYING" 29 -0.0876059706014493
"fBodyAccFreqX" "LAYING" 30 -0.222958352901429
"fBodyAccFreqY" "WALKING" 1 0.113093646103158
"fBodyAccFreqY" "WALKING" 2 0.198586466508475
"fBodyAccFreqY" "WALKING" 3 0.171743003017241
"fBodyAccFreqY" "WALKING" 4 0.0123477342916667
"fBodyAccFreqY" "WALKING" 5 -0.00204051097321429
"fBodyAccFreqY" "WALKING" 6 0.0220734188245614
"fBodyAccFreqY" "WALKING" 7 0.160434129035088
"fBodyAccFreqY" "WALKING" 8 0.00356163764166667
"fBodyAccFreqY" "WALKING" 9 0.0213195015442308
"fBodyAccFreqY" "WALKING" 10 0.243797496811321
"fBodyAccFreqY" "WALKING" 11 0.0128761033966102
"fBodyAccFreqY" "WALKING" 12 0.149107488714
"fBodyAccFreqY" "WALKING" 13 0.0194304158877193
"fBodyAccFreqY" "WALKING" 14 -0.143666881322034
"fBodyAccFreqY" "WALKING" 15 0.0291755441388148
"fBodyAccFreqY" "WALKING" 16 -0.0270392028607843
"fBodyAccFreqY" "WALKING" 17 0.00857138068540984
"fBodyAccFreqY" "WALKING" 18 0.0639302961089286
"fBodyAccFreqY" "WALKING" 19 0.05707673046
"fBodyAccFreqY" "WALKING" 20 -0.00368602589490196
"fBodyAccFreqY" "WALKING" 21 0.0431149928317308
"fBodyAccFreqY" "WALKING" 22 0.309767108065217
"fBodyAccFreqY" "WALKING" 23 0.107804588864407
"fBodyAccFreqY" "WALKING" 24 -0.067892712362069
"fBodyAccFreqY" "WALKING" 25 -0.163298427206757
"fBodyAccFreqY" "WALKING" 26 -0.053962302640678
"fBodyAccFreqY" "WALKING" 27 0.154280392119298
"fBodyAccFreqY" "WALKING" 28 -0.05612513965
"fBodyAccFreqY" "WALKING" 29 0.232676315733962
"fBodyAccFreqY" "WALKING" 30 0.0306217232524615
"fBodyAccFreqY" "WALKING_UPSTAIRS" 1 -0.160697213516981
"fBodyAccFreqY" "WALKING_UPSTAIRS" 2 -0.0618894458958333
"fBodyAccFreqY" "WALKING_UPSTAIRS" 3 -0.100019162177966
"fBodyAccFreqY" "WALKING_UPSTAIRS" 4 -0.0662348475480769
"fBodyAccFreqY" "WALKING_UPSTAIRS" 5 -0.122487323859574
"fBodyAccFreqY" "WALKING_UPSTAIRS" 6 -0.0948830032690196
"fBodyAccFreqY" "WALKING_UPSTAIRS" 7 -0.135079176790196
"fBodyAccFreqY" "WALKING_UPSTAIRS" 8 -0.100254405917073
"fBodyAccFreqY" "WALKING_UPSTAIRS" 9 -0.247086151469388
"fBodyAccFreqY" "WALKING_UPSTAIRS" 10 -0.0035449232893617
"fBodyAccFreqY" "WALKING_UPSTAIRS" 11 -0.189232158777778
"fBodyAccFreqY" "WALKING_UPSTAIRS" 12 -0.105269653898077
"fBodyAccFreqY" "WALKING_UPSTAIRS" 13 -0.247165637745455
"fBodyAccFreqY" "WALKING_UPSTAIRS" 14 -0.366543121851852
"fBodyAccFreqY" "WALKING_UPSTAIRS" 15 -0.149770907839583
"fBodyAccFreqY" "WALKING_UPSTAIRS" 16 -0.223644983547059
"fBodyAccFreqY" "WALKING_UPSTAIRS" 17 -0.15669437456875
"fBodyAccFreqY" "WALKING_UPSTAIRS" 18 -0.249448649272414
"fBodyAccFreqY" "WALKING_UPSTAIRS" 19 0.01976741622
"fBodyAccFreqY" "WALKING_UPSTAIRS" 20 -0.155662086254902
"fBodyAccFreqY" "WALKING_UPSTAIRS" 21 -0.0961003618297872
"fBodyAccFreqY" "WALKING_UPSTAIRS" 22 -0.0343404000452381
"fBodyAccFreqY" "WALKING_UPSTAIRS" 23 -0.188068413803922
"fBodyAccFreqY" "WALKING_UPSTAIRS" 24 -0.271713646627119
"fBodyAccFreqY" "WALKING_UPSTAIRS" 25 -0.379518455061538
"fBodyAccFreqY" "WALKING_UPSTAIRS" 26 -0.231358959054545
"fBodyAccFreqY" "WALKING_UPSTAIRS" 27 -0.18135640627451
"fBodyAccFreqY" "WALKING_UPSTAIRS" 28 -0.0852282260803922
"fBodyAccFreqY" "WALKING_UPSTAIRS" 29 -0.131972012708163
"fBodyAccFreqY" "WALKING_UPSTAIRS" 30 -0.333821697015385
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 1 0.0632200839346939
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 2 0.0119309606468085
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 3 0.0529065241102041
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 4 0.213581745013333
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 5 0.0363662394234043
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 6 0.021911178210625
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 7 -0.0314736615829787
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 8 0.0511555478315789
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 9 0.0625058243738095
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 10 0.0667192523289474
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 11 -0.0561892264956522
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 12 0.0793321823326087
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 13 -0.014212010202766
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 14 -0.00777749593111111
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 15 0.0233642533238095
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 16 -0.00264587983404255
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 17 -0.155801013828261
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 18 -0.14009430376
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 19 0.0126113511538462
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 20 -0.04949564172
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 21 -0.146948731184444
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 22 0.0282644422805556
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 23 0.0130298524666667
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 24 -0.0116848720163636
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 25 -0.173414057262069
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 26 0.0044402193
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 27 0.0530611096231818
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 28 0.0116076206369565
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 29 0.1828974943125
"fBodyAccFreqY" "WALKING_DOWNSTAIRS" 30 -0.0640945645596774
"fBodyAccFreqY" "SITTING" 1 0.0759460768510638
"fBodyAccFreqY" "SITTING" 2 0.150193956163043
"fBodyAccFreqY" "SITTING" 3 -0.00661630574807692
"fBodyAccFreqY" "SITTING" 4 0.07878600934
"fBodyAccFreqY" "SITTING" 5 0.0684590033636364
"fBodyAccFreqY" "SITTING" 6 0.123381829747273
"fBodyAccFreqY" "SITTING" 7 0.0147166711666667
"fBodyAccFreqY" "SITTING" 8 0.107278338519565
"fBodyAccFreqY" "SITTING" 9 -0.120093395898
"fBodyAccFreqY" "SITTING" 10 0.0279319737981482
"fBodyAccFreqY" "SITTING" 11 0.0967747743339623
"fBodyAccFreqY" "SITTING" 12 0.00241516259019608
"fBodyAccFreqY" "SITTING" 13 0.0253459476734694
"fBodyAccFreqY" "SITTING" 14 -0.0904275272388889
"fBodyAccFreqY" "SITTING" 15 0.0966857195491525
"fBodyAccFreqY" "SITTING" 16 0.149987934068116
"fBodyAccFreqY" "SITTING" 17 0.135749049678125
"fBodyAccFreqY" "SITTING" 18 0.171289880184211
"fBodyAccFreqY" "SITTING" 19 -0.00741060234232877
"fBodyAccFreqY" "SITTING" 20 -0.00500928635151515
"fBodyAccFreqY" "SITTING" 21 0.173532229868235
"fBodyAccFreqY" "SITTING" 22 -0.0080693304516129
"fBodyAccFreqY" "SITTING" 23 0.130083858026471
"fBodyAccFreqY" "SITTING" 24 0.00154835032647059
"fBodyAccFreqY" "SITTING" 25 0.125306723301538
"fBodyAccFreqY" "SITTING" 26 0.112830239679487
"fBodyAccFreqY" "SITTING" 27 0.144625790198857
"fBodyAccFreqY" "SITTING" 28 -0.0192655570097222
"fBodyAccFreqY" "SITTING" 29 0.107609317655
"fBodyAccFreqY" "SITTING" 30 0.00713815064193549
"fBodyAccFreqY" "STANDING" 1 0.117478948718868
"fBodyAccFreqY" "STANDING" 2 0.0623378066683333
"fBodyAccFreqY" "STANDING" 3 -0.128180130065574
"fBodyAccFreqY" "STANDING" 4 -0.0669875048642857
"fBodyAccFreqY" "STANDING" 5 -0.00894413194107142
"fBodyAccFreqY" "STANDING" 6 -0.0866319977508772
"fBodyAccFreqY" "STANDING" 7 -0.159730059003774
"fBodyAccFreqY" "STANDING" 8 0.0771842726148148
"fBodyAccFreqY" "STANDING" 9 -0.00378721862222222
"fBodyAccFreqY" "STANDING" 10 -0.0126234259545455
"fBodyAccFreqY" "STANDING" 11 0.0557408976489362
"fBodyAccFreqY" "STANDING" 12 -0.0493281733262295
"fBodyAccFreqY" "STANDING" 13 -0.0303584248157895
"fBodyAccFreqY" "STANDING" 14 -0.138431166621667
"fBodyAccFreqY" "STANDING" 15 -0.0344990030962264
"fBodyAccFreqY" "STANDING" 16 0.0673569419466667
"fBodyAccFreqY" "STANDING" 17 0.0455207736730769
"fBodyAccFreqY" "STANDING" 18 -0.0437104539219178
"fBodyAccFreqY" "STANDING" 19 -0.0362605168315068
"fBodyAccFreqY" "STANDING" 20 -0.164770675523288
"fBodyAccFreqY" "STANDING" 21 0.0366345350988764
"fBodyAccFreqY" "STANDING" 22 -0.122387998604286
"fBodyAccFreqY" "STANDING" 23 0.00252026687779412
"fBodyAccFreqY" "STANDING" 24 -0.0931357413927536
"fBodyAccFreqY" "STANDING" 25 0.0009277035
"fBodyAccFreqY" "STANDING" 26 0.00216184868918919
"fBodyAccFreqY" "STANDING" 27 0.06545831223625
"fBodyAccFreqY" "STANDING" 28 -0.135430639068354
"fBodyAccFreqY" "STANDING" 29 0.00473420032492308
"fBodyAccFreqY" "STANDING" 30 -0.237859819881356
"fBodyAccFreqY" "LAYING" 1 0.097534841586
"fBodyAccFreqY" "LAYING" 2 0.2572894655
"fBodyAccFreqY" "LAYING" 3 0.238470751435484
"fBodyAccFreqY" "LAYING" 4 0.366231448994444
"fBodyAccFreqY" "LAYING" 5 0.466528231788462
"fBodyAccFreqY" "LAYING" 6 0.348418746140351
"fBodyAccFreqY" "LAYING" 7 -0.0438292665807692
"fBodyAccFreqY" "LAYING" 8 0.00539754357407408
"fBodyAccFreqY" "LAYING" 9 -0.215336752654
"fBodyAccFreqY" "LAYING" 10 0.200554088396552
"fBodyAccFreqY" "LAYING" 11 0.251945472245614
"fBodyAccFreqY" "LAYING" 12 0.19137270056
"fBodyAccFreqY" "LAYING" 13 0.0363424960967742
"fBodyAccFreqY" "LAYING" 14 -0.149752054909804
"fBodyAccFreqY" "LAYING" 15 0.240597438814583
"fBodyAccFreqY" "LAYING" 16 -0.1830181401
"fBodyAccFreqY" "LAYING" 17 0.0546075608732394
"fBodyAccFreqY" "LAYING" 18 0.264460073876923
"fBodyAccFreqY" "LAYING" 19 0.292492930166145
"fBodyAccFreqY" "LAYING" 20 0.274452420529412
"fBodyAccFreqY" "LAYING" 21 0.0857486930922889
"fBodyAccFreqY" "LAYING" 22 0.0878775831008333
"fBodyAccFreqY" "LAYING" 23 0.0637688819034028
"fBodyAccFreqY" "LAYING" 24 0.2808890233625
"fBodyAccFreqY" "LAYING" 25 -0.0800093983775342
"fBodyAccFreqY" "LAYING" 26 0.274378315092105
"fBodyAccFreqY" "LAYING" 27 0.254636552121622
"fBodyAccFreqY" "LAYING" 28 -0.07483910088875
"fBodyAccFreqY" "LAYING" 29 0.328259354627536
"fBodyAccFreqY" "LAYING" 30 0.0705691086571429
"fBodyAccFreqZ" "WALKING" 1 0.0497265196172632
"fBodyAccFreqZ" "WALKING" 2 0.0688995208186441
"fBodyAccFreqZ" "WALKING" 3 0.0748536557377586
"fBodyAccFreqZ" "WALKING" 4 -0.0787892636928333
"fBodyAccFreqZ" "WALKING" 5 0.0247389728696429
"fBodyAccFreqZ" "WALKING" 6 0.185107042277193
"fBodyAccFreqZ" "WALKING" 7 0.124630171101754
"fBodyAccFreqZ" "WALKING" 8 0.111947205354167
"fBodyAccFreqZ" "WALKING" 9 0.0237831761442308
"fBodyAccFreqZ" "WALKING" 10 0.25896796635283
"fBodyAccFreqZ" "WALKING" 11 0.0404557559132203
"fBodyAccFreqZ" "WALKING" 12 0.17080294938
"fBodyAccFreqZ" "WALKING" 13 0.152160966852632
"fBodyAccFreqZ" "WALKING" 14 -0.175528830052542
"fBodyAccFreqZ" "WALKING" 15 -0.00590768681611111
"fBodyAccFreqZ" "WALKING" 16 0.0309811083103922
"fBodyAccFreqZ" "WALKING" 17 -0.0933328732232787
"fBodyAccFreqZ" "WALKING" 18 0.00488361554716071
"fBodyAccFreqZ" "WALKING" 19 0.351860011634615
"fBodyAccFreqZ" "WALKING" 20 0.239414630235294
"fBodyAccFreqZ" "WALKING" 21 0.0951469189174423
"fBodyAccFreqZ" "WALKING" 22 0.306473449913043
"fBodyAccFreqZ" "WALKING" 23 0.121798905935593
"fBodyAccFreqZ" "WALKING" 24 0.0275268023637931
"fBodyAccFreqZ" "WALKING" 25 -0.144487390175676
"fBodyAccFreqZ" "WALKING" 26 0.240364343627119
"fBodyAccFreqZ" "WALKING" 27 0.248446349
"fBodyAccFreqZ" "WALKING" 28 -0.0130058804962963
"fBodyAccFreqZ" "WALKING" 29 0.120197007067925
"fBodyAccFreqZ" "WALKING" 30 -0.0837532847692308
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 1 -0.520114793584906
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 2 -0.236589092316958
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 3 -0.278895911347458
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 4 -0.230536706554615
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 5 -0.135264615917021
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 6 -0.0667867912058824
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 7 -0.273730521360588
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 8 -0.191852656439024
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 9 -0.215203992816327
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 10 -0.289969419042553
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 11 -0.486549897222222
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 12 -0.217216987155769
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 13 -0.285177288672727
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 14 -0.367877189296296
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 15 -0.250961613735417
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 16 -0.301508248862745
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 17 -0.258321394134167
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 18 -0.406885286189655
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 19 0.0488512923725
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 20 -0.109083616015431
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 21 -0.136431040812766
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 22 -0.0330889778857143
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 23 -0.20350714824902
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 24 -0.0999242115191525
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 25 -0.463511984138462
"fBodyAccFreqZ" "WALKING_UPSTAIRS" 26 -0.189088586758182
